Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
,,,,,,
Rótulos de Linha,Soma de VALOR,,,,Rótulos de Linha,Soma de VALOR
EEI Estrelinha do Céu,-67204,,,,Entrada,2649999.33
EEI NOSSA SENHORA DOS NAVEGANTES        ,-150000,,,,Saída,-1904240.6200000003
IEI Anjo das Flores,-82808.59,,,,Total Geral,745758.7099999997
IEI Favo de Mel,-340792,,,,,
IEI IRMÃO MÁRIO FRIGO        ,-200000,,,,,
IEI MUNDO COLORIDO        ,-249999.71999999997,,,,,
IEI SÃO VICENTE DE PAULO (CONSERVIR)      ,-200000,,,,,
IEI TECNOBABY        ,-227404.04,,,,,
IEI VILA UNIÃO,-133544.99,,,,,
IEI VITÓRIA,-150000,,,,,
Doador 01,300000,,,,,
Doador 02,999999.3300000001,,,,,
Doador 03,500000,,,,,
Doador 04,350000,,,,,
Total Geral,348245.99,,,,,
