Tipo,(Vários itens),Unnamed: 2
,,
Rótulos de Linha,Soma de VALOR,
Divisórias,-55627.11,4.984508064516129
Doação Direta,-700000,62.72401433691756
Empreitada - Prestador Parceiro,-340792,30.536917562724014
Empreitada - Prestador Próprio,-304306.04000000004,27.26756630824373
Mão de Obra,-16200,1.4516129032258065
Material de Construção,-14698,1.3170250896057347
Material Pedagógico,-19983.59,1.7906442652329748
Mobiliário,-284165.72,25.462878136200715
Pintura,-108367.88,9.710383512544803
Playground,-24999,2.2400537634408604
Serralheria,-2000,0.17921146953405018
(vazio),,
Portas e Janelas,-11160,
Piso,-21941.28,
Total Geral,-1904240.6199999999,
