Tipo,Entrada,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Tipo.1,(Vários itens)
,,,,,,,,MÊS,10. Outubro
Soma de VALOR,Rótulos de Coluna,,,,,,,,
Rótulos de Linha,Pago,Paid,Total Geral,,,,,Rótulos de Linha,Soma de VALOR
08. Agosto,1483333.33,,1483333.33,,,,,Ar-Condicionado,-35986.31
09. Setembro,1133333,,1133333,,,,,Divisórias,-22250.844
10. Outubro,,62335,62335,,,,,Doação Direta,-165231.75
Total Geral,2616666.33,62335,2679001.33,,,,,Eletrodomésticos ,-93481
,,,,,,,,Empreitada - Prestador Parceiro,-92974
,,,,,,,,Empreitada - Prestador Próprio,-42288.44
,,,,,,,,Evento,-50000
,,,,,,,,Forro,-7130
,,,,,,,,Funilaria,-2800
,,,,,,,,Gradil,-2640
,,,,,,,,Informática,-12209
,,,,,,,,Mão de Obra,-61947
,,,,,,,,Material Pedagógico,-12145
,,,,,,,,Mobiliário,-151297.98
,,,,,,,,Pintura,-45500
,,,,,,,,Piso,-68327
,,,,,,,,Playground,-4999.5
,,,,,,,,Portas e Janelas,-42620
,,,,,,,,Utensílios,-92281.51
,,,,,,,,Vegetação,-22726
,,,,,,,,Total Geral,-1028835.334
