Escola,Valor
ECEI ABRASCE ILHA DO PAVÃO,30000
ECEI BRINCANDO E APRENDENDO,25000
EEI ABRASCE LOT. PAMPA,27000
EEI ESTRELINHA DO CÉU,25000
EEI FAVO DE MEL,27000
EEI JOANA D'ARC,25000
EEI NOSSA SENHORA DOS NAVEGANTES,30000
EEI PIMPONETA,30000
EEI POPULAR NOVA GERAÇÃO,25000
EEI TRENZINHO DA ALEGRIA,27000
ESCOLA MARISTA DE EDUCAÇÃO INFANTIL BOA MÃE,25000
I.E.I UNIÃO ESPERANÇA,25000
IEI ACOMPAR STO. AGOSTINHO NÚCLEO,25000
IEI ANJO DAS FLORES,25000
IEI IRMÃO MÁRIO FRIGO,27000
IEI JOÃO PAULO II,30000
IEI MUNDO COLORIDO,30000
IEI SANTA LUIZA,25000
IEI SÃO VICENTE DE PAULO,25000
IEI TECNOBABY,27000
IEI VILA UNIÃO,27000
IEI VITÓRIA,25000
