#,ID,ANO,MÊS,ESCOLA,ITEM,CATEGORIA,PRESTADOR,Tipo,DATA_VENCIMENTO,DATA_PAGAMENTO,VALOR,BALANÇO,TIPO_DE_PAGAMENTO,CONTABILIDADE,STATUS
1,202408_01,2024,08. Agosto,Doador 01,Entrada - Doação - Doador 01 - 1/2,Entrada,Doador 01,Entrada,8/7/2024,, R$  150.000 , R$  150.000 ,,Entrada,Forecast
2,202408_02,2024,08. Agosto,Doador 02,Entrada - Doação - Doador 02 - 1/3,Entrada,Doador 02,Entrada,8/9/2024,, R$  333.000 , R$  483.000 ,,Entrada,Forecast
7,202408_07,2024,08. Agosto,Doador 03,Entrada - Doação - Doador 01 - 1/1,Entrada,Doador 03,Entrada,8/12/2024,, R$  500.000 , R$  983.000 ,,Entrada,Forecast
22,202408_22,2024,08. Agosto,EEI Estrelinha do Céu,1/2 - Mobiliário,Mobiliário,Divimobile Mobiliário Corporativo Eirele.,Saída,8/13/2024,,-R$  928 , R$  982.072 ,,Saída,Forecast
24,202408_24,2024,08. Agosto,EEI Estrelinha do Céu,1/2 - Mobiliário,Mobiliário,Representação Fagundes,Saída,8/13/2024,,-R$  14.950 , R$  967.122 ,,Saída,Forecast
5,202408_05,2024,08. Agosto,IEI Anjo das Flores,Parcela 1/2 - Material Pedagógico,Material Pedagógico,Mega Sul Distribuidora,Saída,8/13/2024,,-R$  9.992 , R$  957.130 ,,Saída,Forecast
6,202408_06,2024,08. Agosto,IEI Anjo das Flores,1/2 - Mobiliário,Mobiliário,Representação Fagundes,Saída,8/13/2024,,-R$  31.413 , R$  925.718 ,,Saída,Forecast
8,202408_08,2024,08. Agosto,EEI NOSSA SENHORA DOS NAVEGANTES        ,Parcela 1/4 - Arquitetos Voluntários,Doação Direta,Associação Arquitetos Voluntários,Saída,8/15/2024,,-R$  37.500 , R$  888.218 ,,Saída,Forecast
9,202408_09,2024,08. Agosto,IEI IRMÃO MÁRIO FRIGO        ,Parcela 1/4 - Arquitetos Voluntários,Doação Direta,Associação Arquitetos Voluntários,Saída,8/15/2024,,-R$  50.000 , R$  838.218 ,,Saída,Forecast
10,202408_10,2024,08. Agosto,IEI SÃO VICENTE DE PAULO (CONSERVIR)      ,Parcela 1/4 - Arquitetos Voluntários,Doação Direta,Associação Arquitetos Voluntários,Saída,8/15/2024,,-R$  50.000 , R$  788.218 ,,Saída,Forecast
11,202408_11,2024,08. Agosto,IEI VITÓRIA,Parcela 1/4 - Arquitetos Voluntários,Doação Direta,Associação Arquitetos Voluntários,Saída,8/15/2024,,-R$  37.500 , R$  750.718 ,,Saída,Forecast
12,202408_12,2024,08. Agosto,IEI VILA UNIÃO,Entrada 60% - Pintura 1º Pavimento,Pintura,VIEIRA &CAVALHEIRO PRESTADORA ED SERVICOS LTDA,Saída,8/16/2024,,-R$  23.412 , R$  727.305 ,,Saída,Forecast
13,202408_13,2024,08. Agosto,IEI MUNDO COLORIDO        ,Pagamento Brinquedo Pátio,Playground,CASA DO PULA PULA- MAURICIO GOULART CORREA,Saída,8/16/2024,,-R$  10.760 , R$  716.545 ,,Saída,Forecast
14,202408_14,2024,08. Agosto,IEI MUNDO COLORIDO        ,1/2 - Cobertura do Playground,Playground,DARCI ANTUNES DA SILVEIRA – MD REFORMAS E CONSTRUÇÃO,Saída,8/16/2024,,-R$  7.500 , R$  709.045 ,,Saída,Forecast
15,202408_15,2024,08. Agosto,IEI MUNDO COLORIDO        ,Parcela 1/2 - Serralheria - Algerosas,Serralheria,FABIO FIUZA – SERRALHERIA,Saída,8/16/2024,,-R$  1.000 , R$  708.045 ,,Saída,Forecast
16,202408_16,2024,08. Agosto,IEI MUNDO COLORIDO        ,Parcela 1/2 - Pintura Externa e Piso Vinílico,Empreitada - Prestador Próprio,PAULO RENATO DE OLIVEIRA CAMPOS-REFORMAS E MANUTENÇÃO,Saída,8/16/2024,,-R$  30.761 , R$  677.284 ,,Saída,Forecast
17,202408_17,2024,08. Agosto,IEI MUNDO COLORIDO        ,Parcela 1/2 - Playgroung,Playground,VERONA INDUSTRIA DE PLÁSTICOS LTDA,Saída,8/16/2024,,-R$  5.000 , R$  672.285 ,,Saída,Forecast
18,202408_18,2024,08. Agosto,IEI MUNDO COLORIDO        ,Parcela 1/3 - Mobiliário Cozinha e Salas de Aula,Mobiliário,VIEIRA & CAVALHEIRO PRESTADORA DE SERVICOS LTDA ,Saída,8/16/2024,,-R$  67.669 , R$  604.616 ,,Saída,Forecast
