Nome,Valor Estimado,Num Alunos,Bairro,Latitude,Longitude,Renda_Media_Domicilio_Sm
IEI ANJO DAS FLORES,20000000,86,ARQUIPÉLOGO,-29.98679,-51.24404718,2.96
ECEI ABRASCE ILHA DO PAVÃO,10000000,83,ARQUIPÉLOGO,-29.99506,-51.21697,2.96
I.E.I UNIÃO ESPERANÇA,18863636,109,BELÉM VELHO,-30.11273841,-51.16675285,4.94
EEI ANTÔNIO GIANELLI - UNIDADE SERTÃO II,18863636,77,BELÉM VELHO,-30.11712,-51.23095,4.94
IEI IRMÃO MÁRIO FRIGO,40000000,105,FARRAPOS,-29.98340447,-51.19987319,3.0
ESCOLA MARISTA DE EDUCAÇÃO INFANTIL BOA MÃE,20000000,100,FARRAPOS,-29.97654221,-51.1973814,3.0
IEI JOÃO PAULO II,25000000,104,FARRAPOS,-29.97863,-51.19627,3.0
IEI SANTA LUIZA,20000000,184,FARRAPOS,-29.97990437,-51.19447027,3.0
IEI TECNOBABY,15000000,100,FARRAPOS,-29.97949,-51.19807,3.0
IEI VITÓRIA,15000000,99,HUMAITÁ,-29.98905,-51.19452,6.0
IEI MUNDO COLORIDO,15000000,81,HUMAITÁ,-29.9927158,-51.19374385,6.0
ECEI BRINCANDO E APRENDENDO,20000000,83,NAVEGANTES,-29.98894816,-51.19735407,7.07
EEI ABRASCE LOT. PAMPA,20000000,117,NAVEGANTES,-29.98065,-51.19896,7.07
EEI JESUS O BOM PASTOR,15000000,95,NAVEGANTES,-29.9891,-51.20222,7.07
IEI SAO VICENTE DE PAULO,20000000,80,NAVEGANTES,-30.007797,-51.2026888,7.07
EEI NOSSA SENHORA DOS NAVEGANTES,15000000,126,SÃO GERALDO,-30.00909976,-51.2026025,8.29
EEI ESTRELINHA DO CÉU,15000000,131,SARANDI,-29.98967482,-51.11990753,5.01
EEI FAVO DE MEL,20000000,88,SARANDI,-29.98071539,-51.13124932,5.01
EEI JOANA D'ARC,15000000,63,SARANDI,-29.9920938,-51.13771254,5.01
EEI PIMPONETA,20000000,54,SARANDI,-29.98914374,-51.12907046,5.01
EEI POPULAR NOVA GERAÇÃO,20000000,29,SARANDI,-29.98613923,-51.11417761,5.01
EEI TRENZINHO DA ALEGRIA,15000000,52,SARANDI,-29.98551312,-51.11557121,5.01
IEI ACOMPAR STO. AGOSTINHO NÚCLEO,20000000,181,SARANDI,-29.98489373,-51.10872329,5.01
IEI VILA UNIÃO,20000000,82,SARANDI,-29.9792766,-51.1303194,5.01
